TIPO;ESPESOR;DIAMETRO;PULGADA;UNIDAD;PRECIO AISLAMIENTO;PRECIO ALUMINIO
CONO;32;140;"5""";Ud;1,08;4,12
CONO;32;170;"6""";Ud;1,08;4,12
CONO;40;15;"1/4""";Ud;0,65;0,00
CONO;40;18;"3/8""";Ud;0,65;0,00
CONO;40;22;"1/2""";Ud;0,65;2,58
CONO;40;28;"3/4""";Ud;0,65;2,58
CONO;40;35;"1""";Ud;0,65;2,58
CONO;40;42;"1""1/4";Ud;0,87;2,84
CONO;40;48;"1""1/2";Ud;0,87;2,84
CONO;40;60;"2""";Ud;1,08;2,84
CONO;40;76;"2""1/2";Ud;1,08;2,84
CONO;40;89;"3""";Ud;1,08;3,35
CONO;40;114;"4""";Ud;1,30;3,61
CONO;40;140;"5""";Ud;1,30;4,12
CONO;40;170;"6""";Ud;1,30;4,64
CONO;50;22;"1/2""";Ud;0,87;3,09
CONO;50;28;"3/4""";Ud;0,87;3,09
CONO;50;35;"1""";Ud;0,87;3,09
CONO;50;42;"1""1/4";Ud;1,30;3,35
CONO;50;48;"1""1/2";Ud;1,30;3,35
CONO;50;60;"2""";Ud;1,63;3,35
CONO;50;76;"2""1/2";Ud;1,95;3,35
CONO;50;89;"3""";Ud;1,95;3,61
CONO;50;114;"4""";Ud;2,06;4,12
CONO;50;140;"5""";Ud;2,06;4,64
CONO;50;170;"6""";Ud;2,06;4,64
CONO;60;114;"4""";Ud;2,86;5,15
CONO;60;140;"5""";Ud;3,10;5,15
CONO;60;170;"6""";Ud;3,10;5,15
REDUCCION;6;15;"1/4""";Ud;0,65;0,00
REDUCCION;6;18;"3/8""";Ud;0,65;0,00
REDUCCION;6;22;"1/2""";Ud;0,65;0,00
REDUCCION;6;28;"3/4""";Ud;0,65;0,00
REDUCCION;6;35;"1""";Ud;0,65;0,00
REDUCCION;6;42;"1""1/4";Ud;0,65;0,00
REDUCCION;9;15;"1/4""";Ud;0,65;0,00
REDUCCION;9;18;"3/8""";Ud;0,65;0,00
REDUCCION;9;22;"1/2""";Ud;0,65;0,00
REDUCCION;9;28;"3/4""";Ud;0,65;0,00
REDUCCION;9;35;"1""";Ud;0,65;0,00
REDUCCION;9;42;"1""1/4";Ud;0,65;0,00
REDUCCION;9;48;"1""1/2";Ud;0,65;0,00
REDUCCION;9;60;"2""";Ud;0,65;0,00
REDUCCION;9;76;"2""1/2";Ud;0,65;0,00
REDUCCION;9;89;"3""";Ud;0,65;0,00
REDUCCION;9;114;"4""";Ud;1,08;0,00
REDUCCION;9;140;"5""";Ud;1,08;0,00
REDUCCION;9;170;"6""";Ud;1,08;0,00
REDUCCION;13;15;"1/4""";Ud;0,65;0,00
REDUCCION;13;18;"3/8""";Ud;0,65;0,00
REDUCCION;13;22;"1/2""";Ud;0,65;0,00
REDUCCION;13;28;"3/4""";Ud;0,65;0,00
REDUCCION;13;35;"1""";Ud;0,65;0,00
REDUCCION;13;42;"1""1/4";Ud;0,65;0,00
REDUCCION;13;48;"1""1/2";Ud;0,65;0,00
REDUCCION;13;60;"2""";Ud;0,65;0,00
REDUCCION;13;76;"2""1/2";Ud;0,65;0,00
REDUCCION;13;89;"3""";Ud;0,65;0,00
REDUCCION;13;114;"4""";Ud;0,65;0,00
REDUCCION;13;140;"5""";Ud;1,08;0,00
REDUCCION;13;170;"6""";Ud;1,08;0,00
REDUCCION;19;15;"1/4""";Ud;0,65;0,00
REDUCCION;19;18;"3/8""";Ud;0,65;0,00
REDUCCION;19;22;"1/2""";Ud;0,65;0,00
REDUCCION;19;28;"3/4""";Ud;0,65;0,00
REDUCCION;19;35;"1""";Ud;0,65;0,00
REDUCCION;19;42;"1""1/4";Ud;0,65;0,00
REDUCCION;19;48;"1""1/2";Ud;0,65;0,00
REDUCCION;19;60;"2""";Ud;0,65;0,00
REDUCCION;19;76;"2""1/2";Ud;0,65;0,00
REDUCCION;19;89;"3""";Ud;0,65;0,00
REDUCCION;19;114;"4""";Ud;1,08;0,00
REDUCCION;19;140;"5""";Ud;1,08;0,00
REDUCCION;19;170;"6""";Ud;1,08;0,00
REDUCCION;25;15;"1/4""";Ud;0,65;0,00
REDUCCION;25;18;"3/8""";Ud;0,65;0,00
REDUCCION;25;22;"1/2""";Ud;0,65;2,06
REDUCCION;25;28;"3/4""";Ud;0,65;2,06
REDUCCION;25;35;"1""";Ud;0,65;2,06
REDUCCION;25;42;"1""1/4";Ud;0,65;2,32
REDUCCION;25;48;"1""1/2";Ud;0,65;2,32
REDUCCION;25;60;"2""";Ud;0,65;2,32
REDUCCION;25;76;"2""1/2";Ud;0,65;2,32
REDUCCION;25;89;"3""";Ud;0,65;2,84
REDUCCION;25;114;"4""";Ud;1,08;2,84
REDUCCION;25;140;"5""";Ud;1,08;2,84
REDUCCION;25;170;"6""";Ud;1,08;2,84
REDUCCION;32;15;"1/4""";Ud;0,65;0,00
REDUCCION;32;18;"3/8""";Ud;0,65;0,00
REDUCCION;32;22;"1/2""";Ud;0,65;2,32
REDUCCION;32;28;"3/4""";Ud;0,65;2,32
REDUCCION;32;35;"1""";Ud;0,65;2,32
REDUCCION;32;42;"1""1/4";Ud;0,65;2,58
REDUCCION;32;48;"1""1/2";Ud;0,65;2,58
REDUCCION;32;60;"2""";Ud;0,65;2,58
REDUCCION;32;76;"2""1/2";Ud;0,65;2,58
REDUCCION;32;89;"3""";Ud;0,65;3,09
REDUCCION;32;114;"4""";Ud;1,08;3,35
REDUCCION;32;140;"5""";Ud;1,08;4,12
REDUCCION;32;170;"6""";Ud;1,08;4,12
REDUCCION;40;15;"1/4""";Ud;0,65;0,00
REDUCCION;40;18;"3/8""";Ud;0,65;0,00
REDUCCION;40;22;"1/2""";Ud;0,65;2,58
REDUCCION;40;28;"3/4""";Ud;0,65;2,58
REDUCCION;40;35;"1""";Ud;0,65;2,58
REDUCCION;40;42;"1""1/4";Ud;0,87;2,84
REDUCCION;40;48;"1""1/2";Ud;0,87;2,84
REDUCCION;40;60;"2""";Ud;1,08;2,84
REDUCCION;40;76;"2""1/2";Ud;1,08;2,84
REDUCCION;40;89;"3""";Ud;1,08;3,35
REDUCCION;40;114;"4""";Ud;1,30;3,61
REDUCCION;40;140;"5""";Ud;1,30;4,12
REDUCCION;40;170;"6""";Ud;1,30;4,64
REDUCCION;50;22;"1/2""";Ud;0,87;3,09
REDUCCION;50;28;"3/4""";Ud;0,87;3,09
REDUCCION;50;35;"1""";Ud;0,87;3,09
REDUCCION;50;42;"1""1/4";Ud;1,30;3,35
REDUCCION;50;48;"1""1/2";Ud;1,30;3,35
REDUCCION;50;60;"2""";Ud;1,63;3,35
REDUCCION;50;76;"2""1/2";Ud;1,95;3,35
REDUCCION;50;89;"3""";Ud;1,95;3,61
REDUCCION;50;114;"4""";Ud;2,06;4,12
REDUCCION;50;140;"5""";Ud;2,06;4,64
REDUCCION;50;170;"6""";Ud;2,06;4,64
REDUCCION;60;114;"4""";Ud;2,86;5,15
REDUCCION;60;140;"5""";Ud;3,10;5,15
REDUCCION;60;170;"6""";Ud;3,10;5,15
VALVULA;6;15;"1/4""";Ud;3,25;0,00
VALVULA;6;18;"3/8""";Ud;3,25;0,00
VALVULA;6;22;"1/2""";Ud;3,25;0,00
VALVULA;6;28;"3/4""";Ud;3,25;0,00
VALVULA;6;35;"1""";Ud;3,25;0,00
VALVULA;6;42;"1""1/4";Ud;3,25;0,00
VALVULA;9;15;"1/4""";Ud;3,25;0,00
VALVULA;9;18;"3/8""";Ud;3,25;0,00
VALVULA;9;22;"1/2""";Ud;3,25;0,00
VALVULA;9;28;"3/4""";Ud;3,25;0,00
VALVULA;9;35;"1""";Ud;3,25;0,00
VALVULA;9;42;"1""1/4";Ud;3,25;0,00
VALVULA;9;48;"1""1/2";Ud;3,25;0,00
VALVULA;9;60;"2""";Ud;3,25;0,00
VALVULA;9;76;"2""1/2";Ud;3,25;0,00
VALVULA;9;89;"3""";Ud;3,25;0,00
VALVULA;9;114;"4""";Ud;5,40;0,00
VALVULA;9;140;"5""";Ud;5,40;0,00
VALVULA;9;170;"6""";Ud;5,40;0,00
VALVULA;13;15;"1/4""";Ud;3,25;0,00
VALVULA;13;18;"3/8""";Ud;3,25;0,00
VALVULA;13;22;"1/2""";Ud;3,25;0,00
VALVULA;13;28;"3/4""";Ud;3,25;0,00
VALVULA;13;35;"1""";Ud;3,25;0,00
VALVULA;13;42;"1""1/4";Ud;3,25;0,00
VALVULA;13;48;"1""1/2";Ud;3,25;0,00
VALVULA;13;60;"2""";Ud;3,25;0,00
VALVULA;13;76;"2""1/2";Ud;3,25;0,00
VALVULA;13;89;"3""";Ud;3,25;0,00
VALVULA;13;114;"4""";Ud;3,25;0,00
VALVULA;13;140;"5""";Ud;5,40;0,00
VALVULA;13;170;"6""";Ud;5,40;0,00
VALVULA;19;15;"1/4""";Ud;3,25;0,00
VALVULA;19;18;"3/8""";Ud;3,25;0,00
VALVULA;19;22;"1/2""";Ud;3,25;0,00
VALVULA;19;28;"3/4""";Ud;3,25;0,00
VALVULA;19;35;"1""";Ud;3,25;0,00
VALVULA;19;42;"1""1/4";Ud;3,25;0,00
VALVULA;19;48;"1""1/2";Ud;3,25;0,00
VALVULA;19;60;"2""";Ud;3,25;0,00
VALVULA;19;76;"2""1/2";Ud;3,25;0,00
VALVULA;19;89;"3""";Ud;3,25;0,00
VALVULA;19;114;"4""";Ud;5,40;0,00
VALVULA;19;140;"5""";Ud;5,40;0,00
VALVULA;19;170;"6""";Ud;5,40;0,00
VALVULA;25;15;"1/4""";Ud;3,25;0,00
VALVULA;25;18;"3/8""";Ud;3,25;0,00
VALVULA;25;22;"1/2""";Ud;3,25;10,30
VALVULA;25;28;"3/4""";Ud;3,25;10,30
VALVULA;25;35;"1""";Ud;3,25;10,30
VALVULA;25;42;"1""1/4";Ud;3,25;11,60
VALVULA;25;48;"1""1/2";Ud;3,25;11,60
VALVULA;25;60;"2""";Ud;3,25;11,60
VALVULA;25;76;"2""1/2";Ud;3,25;11,60
VALVULA;25;89;"3""";Ud;3,25;14,18
VALVULA;25;114;"4""";Ud;5,40;14,18
VALVULA;25;140;"5""";Ud;5,40;14,18
VALVULA;25;170;"6""";Ud;5,40;14,18
VALVULA;32;15;"1/4""";Ud;3,25;0,00
VALVULA;32;18;"3/8""";Ud;3,25;0,00
VALVULA;32;22;"1/2""";Ud;3,25;11,60
VALVULA;32;28;"3/4""";Ud;3,25;11,60
VALVULA;32;35;"1""";Ud;3,25;11,60
VALVULA;32;42;"1""1/4";Ud;3,25;12,88
VALVULA;32;48;"1""1/2";Ud;3,25;12,88
VALVULA;32;60;"2""";Ud;3,25;12,88
VALVULA;32;76;"2""1/2";Ud;3,25;12,88
VALVULA;32;89;"3""";Ud;3,25;15,45
VALVULA;32;114;"4""";Ud;5,40;16,75
VALVULA;32;140;"5""";Ud;5,40;20,60
VALVULA;32;170;"6""";Ud;5,40;20,60
VALVULA;40;15;"1/4""";Ud;3,25;0,00
VALVULA;40;18;"3/8""";Ud;3,25;0,00
VALVULA;40;22;"1/2""";Ud;3,25;12,88
VALVULA;40;28;"3/4""";Ud;3,25;12,88
VALVULA;40;35;"1""";Ud;3,25;12,88
VALVULA;40;42;"1""1/4";Ud;4,33;14,18
VALVULA;40;48;"1""1/2";Ud;4,33;14,18
VALVULA;40;60;"2""";Ud;5,40;14,18
VALVULA;40;76;"2""1/2";Ud;5,40;14,18
VALVULA;40;89;"3""";Ud;5,40;16,75
VALVULA;40;114;"4""";Ud;6,50;18,03
VALVULA;40;140;"5""";Ud;6,50;20,60
VALVULA;40;170;"6""";Ud;6,50;23,18
VALVULA;50;22;"1/2""";Ud;4,33;15,45
VALVULA;50;28;"3/4""";Ud;4,33;15,45
VALVULA;50;35;"1""";Ud;4,33;15,45
VALVULA;50;42;"1""1/4";Ud;6,50;16,75
VALVULA;50;48;"1""1/2";Ud;6,50;16,75
VALVULA;50;60;"2""";Ud;8,13;16,75
VALVULA;50;76;"2""1/2";Ud;9,75;16,75
VALVULA;50;89;"3""";Ud;9,75;18,03
VALVULA;50;114;"4""";Ud;10,30;20,60
VALVULA;50;140;"5""";Ud;10,30;23,18
VALVULA;50;170;"6""";Ud;10,30;23,18
VALVULA;60;114;"4""";Ud;14,28;25,75
VALVULA;60;140;"5""";Ud;15,50;25,75
VALVULA;60;170;"6""";Ud;15,50;25,75
FILTRO;6;15;"1/4""";Ud;3,25;0,00
FILTRO;6;18;"3/8""";Ud;3,25;0,00
FILTRO;6;22;"1/2""";Ud;3,25;0,00
FILTRO;6;28;"3/4""";Ud;3,25;0,00
FILTRO;6;35;"1""";Ud;3,25;0,00
FILTRO;6;42;"1""1/4";Ud;3,25;0,00
FILTRO;9;15;"1/4""";Ud;3,25;0,00
FILTRO;9;18;"3/8""";Ud;3,25;0,00
FILTRO;9;22;"1/2""";Ud;3,25;0,00
FILTRO;9;28;"3/4""";Ud;3,25;0,00
FILTRO;9;35;"1""";Ud;3,25;0,00
FILTRO;9;42;"1""1/4";Ud;3,25;0,00
FILTRO;9;48;"1""1/2";Ud;3,25;0,00
FILTRO;9;60;"2""";Ud;3,25;0,00
FILTRO;9;76;"2""1/2";Ud;3,25;0,00
FILTRO;9;89;"3""";Ud;3,25;0,00
FILTRO;9;114;"4""";Ud;5,40;0,00
FILTRO;9;140;"5""";Ud;5,40;0,00
FILTRO;9;170;"6""";Ud;5,40;0,00
FILTRO;13;15;"1/4""";Ud;3,25;0,00
FILTRO;13;18;"3/8""";Ud;3,25;0,00
FILTRO;13;22;"1/2""";Ud;3,25;0,00
FILTRO;13;28;"3/4""";Ud;3,25;0,00
FILTRO;13;35;"1""";Ud;3,25;0,00
FILTRO;13;42;"1""1/4";Ud;3,25;0,00
FILTRO;13;48;"1""1/2";Ud;3,25;0,00
FILTRO;13;60;"2""";Ud;3,25;0,00
FILTRO;13;76;"2""1/2";Ud;3,25;0,00
FILTRO;13;89;"3""";Ud;3,25;0,00
FILTRO;13;114;"4""";Ud;3,25;0,00
FILTRO;13;140;"5""";Ud;5,40;0,00
FILTRO;13;170;"6""";Ud;5,40;0,00
FILTRO;19;15;"1/4""";Ud;3,25;0,00
FILTRO;19;18;"3/8""";Ud;3,25;0,00
FILTRO;19;22;"1/2""";Ud;3,25;0,00
FILTRO;19;28;"3/4""";Ud;3,25;0,00
FILTRO;19;35;"1""";Ud;3,25;0,00
FILTRO;19;42;"1""1/4";Ud;3,25;0,00
FILTRO;19;48;"1""1/2";Ud;3,25;0,00
FILTRO;19;60;"2""";Ud;3,25;0,00
FILTRO;19;76;"2""1/2";Ud;3,25;0,00
FILTRO;19;89;"3""";Ud;3,25;0,00
FILTRO;19;114;"4""";Ud;5,40;0,00
FILTRO;19;140;"5""";Ud;5,40;0,00
FILTRO;19;170;"6""";Ud;5,40;0,00
FILTRO;25;15;"1/4""";Ud;3,25;0,00
FILTRO;25;18;"3/8""";Ud;3,25;0,00
FILTRO;25;22;"1/2""";Ud;3,25;10,30
FILTRO;25;28;"3/4""";Ud;3,25;10,30
FILTRO;25;35;"1""";Ud;3,25;10,30
FILTRO;25;42;"1""1/4";Ud;3,25;11,60
FILTRO;25;48;"1""1/2";Ud;3,25;11,60
FILTRO;25;60;"2""";Ud;3,25;11,60
FILTRO;25;76;"2""1/2";Ud;3,25;11,60
FILTRO;25;89;"3""";Ud;3,25;14,18
FILTRO;25;114;"4""";Ud;5,40;14,18
FILTRO;25;140;"5""";Ud;5,40;14,18
FILTRO;25;170;"6""";Ud;5,40;14,18
FILTRO;32;15;"1/4""";Ud;3,25;0,00
FILTRO;32;18;"3/8""";Ud;3,25;0,00
FILTRO;32;22;"1/2""";Ud;3,25;11,60
FILTRO;32;28;"3/4""";Ud;3,25;11,60
FILTRO;32;35;"1""";Ud;3,25;11,60
FILTRO;32;42;"1""1/4";Ud;3,25;12,88
FILTRO;32;48;"1""1/2";Ud;3,25;12,88
FILTRO;32;60;"2""";Ud;3,25;12,88
FILTRO;32;76;"2""1/2";Ud;3,25;12,88
FILTRO;32;89;"3""";Ud;3,25;15,45
FILTRO;32;114;"4""";Ud;5,40;16,75
FILTRO;32;140;"5""";Ud;5,40;20,60
FILTRO;32;170;"6""";Ud;5,40;20,60
FILTRO;40;15;"1/4""";Ud;3,25;0,00
FILTRO;40;18;"3/8""";Ud;3,25;0,00
FILTRO;40;22;"1/2""";Ud;3,25;12,88
FILTRO;40;28;"3/4""";Ud;3,25;12,88
FILTRO;40;35;"1""";Ud;3,25;12,88
FILTRO;40;42;"1""1/4";Ud;4,33;14,18
FILTRO;40;48;"1""1/2";Ud;4,33;14,18
FILTRO;40;60;"2""";Ud;5,40;14,18
FILTRO;40;76;"2""1/2";Ud;5,40;14,18
FILTRO;40;89;"3""";Ud;5,40;16,75
FILTRO;40;114;"4""";Ud;6,50;18,03
FILTRO;40;140;"5""";Ud;6,50;20,60
FILTRO;40;170;"6""";Ud;6,50;23,18
FILTRO;50;22;"1/2""";Ud;4,33;15,45
FILTRO;50;28;"3/4""";Ud;4,33;15,45
FILTRO;50;35;"1""";Ud;4,33;15,45
FILTRO;50;42;"1""1/4";Ud;6,50;16,75
FILTRO;50;48;"1""1/2";Ud;6,50;16,75
FILTRO;50;60;"2""";Ud;8,13;16,75
FILTRO;50;76;"2""1/2";Ud;9,75;16,75
FILTRO;50;89;"3""";Ud;9,75;18,03
FILTRO;50;114;"4""";Ud;10,30;20,60
FILTRO;50;140;"5""";Ud;10,30;23,18
FILTRO;50;170;"6""";Ud;10,30;23,18
FILTRO;60;114;"4""";Ud;14,28;25,75
FILTRO;60;140;"5""";Ud;15,50;25,75
FILTRO;60;170;"6""";Ud;15,50;25,75
BRIDA;6;15;"1/4""";Ud;2,60;0,00
BRIDA;6;18;"3/8""";Ud;2,60;0,00
BRIDA;6;22;"1/2""";Ud;2,60;0,00
BRIDA;6;28;"3/4""";Ud;2,60;0,00
BRIDA;6;35;"1""";Ud;2,60;0,00
BRIDA;6;42;"1""1/4";Ud;2,60;0,00
BRIDA;9;15;"1/4""";Ud;2,60;0,00
BRIDA;9;18;"3/8""";Ud;2,60;0,00
BRIDA;9;22;"1/2""";Ud;2,60;0,00
BRIDA;9;28;"3/4""";Ud;2,60;0,00
BRIDA;9;35;"1""";Ud;2,60;0,00
BRIDA;9;42;"1""1/4";Ud;2,60;0,00
BRIDA;9;48;"1""1/2";Ud;2,60;0,00
BRIDA;9;60;"2""";Ud;2,60;0,00
BRIDA;9;76;"2""1/2";Ud;2,60;0,00
BRIDA;9;89;"3""";Ud;2,60;0,00
BRIDA;9;114;"4""";Ud;4,32;0,00
BRIDA;9;140;"5""";Ud;4,32;0,00
BRIDA;9;170;"6""";Ud;4,32;0,00
BRIDA;13;15;"1/4""";Ud;2,60;0,00
BRIDA;13;18;"3/8""";Ud;2,60;0,00
BRIDA;13;22;"1/2""";Ud;2,60;0,00
BRIDA;13;28;"3/4""";Ud;2,60;0,00
BRIDA;13;35;"1""";Ud;2,60;0,00
BRIDA;13;42;"1""1/4";Ud;2,60;0,00
BRIDA;13;48;"1""1/2";Ud;2,60;0,00
BRIDA;13;60;"2""";Ud;2,60;0,00
BRIDA;13;76;"2""1/2";Ud;2,60;0,00
BRIDA;13;89;"3""";Ud;2,60;0,00
BRIDA;13;114;"4""";Ud;2,60;0,00
BRIDA;13;140;"5""";Ud;4,32;0,00
BRIDA;13;170;"6""";Ud;4,32;0,00
BRIDA;19;15;"1/4""";Ud;2,60;0,00
BRIDA;19;18;"3/8""";Ud;2,60;0,00
BRIDA;19;22;"1/2""";Ud;2,60;0,00
BRIDA;19;28;"3/4""";Ud;2,60;0,00
BRIDA;19;35;"1""";Ud;2,60;0,00
BRIDA;19;42;"1""1/4";Ud;2,60;0,00
BRIDA;19;48;"1""1/2";Ud;2,60;0,00
BRIDA;19;60;"2""";Ud;2,60;0,00
BRIDA;19;76;"2""1/2";Ud;2,60;0,00
BRIDA;19;89;"3""";Ud;2,60;0,00
BRIDA;19;114;"4""";Ud;4,32;0,00
BRIDA;19;140;"5""";Ud;4,32;0,00
BRIDA;19;170;"6""";Ud;4,32;0,00
BRIDA;25;15;"1/4""";Ud;2,60;0,00
BRIDA;25;18;"3/8""";Ud;2,60;0,00
BRIDA;25;22;"1/2""";Ud;2,60;8,24
BRIDA;25;28;"3/4""";Ud;2,60;8,24
BRIDA;25;35;"1""";Ud;2,60;8,24
BRIDA;25;42;"1""1/4";Ud;2,60;9,28
BRIDA;25;48;"1""1/2";Ud;2,60;9,28
BRIDA;25;60;"2""";Ud;2,60;9,28
BRIDA;25;76;"2""1/2";Ud;2,60;9,28
BRIDA;25;89;"3""";Ud;2,60;11,34
BRIDA;25;114;"4""";Ud;4,32;11,34
BRIDA;25;140;"5""";Ud;4,32;11,34
BRIDA;25;170;"6""";Ud;4,32;11,34
BRIDA;32;15;"1/4""";Ud;2,60;0,00
BRIDA;32;18;"3/8""";Ud;2,60;0,00
BRIDA;32;22;"1/2""";Ud;2,60;9,28
BRIDA;32;28;"3/4""";Ud;2,60;9,28
BRIDA;32;35;"1""";Ud;2,60;9,28
BRIDA;32;42;"1""1/4";Ud;2,60;10,30
BRIDA;32;48;"1""1/2";Ud;2,60;10,30
BRIDA;32;60;"2""";Ud;2,60;10,30
BRIDA;32;76;"2""1/2";Ud;2,60;10,30
BRIDA;32;89;"3""";Ud;2,60;12,36
BRIDA;32;114;"4""";Ud;4,32;13,40
BRIDA;32;140;"5""";Ud;4,32;16,48
BRIDA;32;170;"6""";Ud;4,32;16,48
BRIDA;40;15;"1/4""";Ud;2,60;0,00
BRIDA;40;18;"3/8""";Ud;2,60;0,00
BRIDA;40;22;"1/2""";Ud;2,60;10,30
BRIDA;40;28;"3/4""";Ud;2,60;10,30
BRIDA;40;35;"1""";Ud;2,60;10,30
BRIDA;40;42;"1""1/4";Ud;3,46;11,34
BRIDA;40;48;"1""1/2";Ud;3,46;11,34
BRIDA;40;60;"2""";Ud;4,32;11,34
BRIDA;40;76;"2""1/2";Ud;4,32;11,34
BRIDA;40;89;"3""";Ud;4,32;13,40
BRIDA;40;114;"4""";Ud;5,20;14,42
BRIDA;40;140;"5""";Ud;5,20;16,48
BRIDA;40;170;"6""";Ud;5,20;18,54
BRIDA;50;22;"1/2""";Ud;3,46;12,36
BRIDA;50;28;"3/4""";Ud;3,46;12,36
BRIDA;50;35;"1""";Ud;3,46;12,36
BRIDA;50;42;"1""1/4";Ud;5,20;13,40
BRIDA;50;48;"1""1/2";Ud;5,20;13,40
BRIDA;50;60;"2""";Ud;6,50;13,40
BRIDA;50;76;"2""1/2";Ud;7,80;13,40
BRIDA;50;89;"3""";Ud;7,80;14,42
BRIDA;50;114;"4""";Ud;8,24;16,48
BRIDA;50;140;"5""";Ud;8,24;18,54
BRIDA;50;170;"6""";Ud;8,24;18,54
BRIDA;60;114;"4""";Ud;11,42;20,60
BRIDA;60;140;"5""";Ud;12,40;20,60
BRIDA;60;170;"6""";Ud;12,40;20,60
